First_Reaction,Second_Reaction,Second_Reaction_Author,SBGN_Status,Shared_Entity,Shared_Entity_Class,Shared_Entity_Relation_to_Second_Reaction,Cyclic?,Logic,Value,Is _It_Curated?
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3215385"",""CDK4 in CCND1:CDK4:PRMT5:WDR77 phosphorylates WDR77"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5205799"",""CCND1:CDK4:PRMT5:pT5-WDR77 methylates arginine-9 of histone H3 (H3R8)"")","Jupe, S",Same_SBGN,CCND1:CDK4:PRMT5:pT5-WDR77 [nucleoplasm],Complex,Input,False,AND,1,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3215385"",""CDK4 in CCND1:CDK4:PRMT5:WDR77 phosphorylates WDR77"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5661117"",""CCND1:CDK4:PRMT5:pT5-WDR77 methylates methyl-arginine-9 of histone H3"")","Jupe, S",Same_SBGN,CCND1:CDK4:PRMT5:pT5-WDR77 [nucleoplasm],Complex,Input,False,AND,1,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3215385"",""CDK4 in CCND1:CDK4:PRMT5:WDR77 phosphorylates WDR77"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3215426"",""COPRS binds CCND1:CDK4:PRMT5:pT5-WDR77"")","Jupe, S",Same_SBGN,CCND1:CDK4:PRMT5:pT5-WDR77 [nucleoplasm],Complex,Input,False,AND,1,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3215391"",""PRMT5 is tyrosine phosphorylated by JAK2 V617F"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3215406"",""PRMT5 binds WDR77"")","Jupe, S",Same_SBGN,"p-Y297,304,307-PRMT5 [nucleoplasm]",EntityWithAccessionedSequence,Negative Regulator,False,AND,-1,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3215426"",""COPRS binds CCND1:CDK4:PRMT5:pT5-WDR77"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5216234"",""PRMT5:pT5-WDR77 methylates arginine-4 of histone H2A (H2AR3)"")","Jupe, S",Same_SBGN,CCND1:CDK4:PRMT5:pT5-WDR77:COPRS [nucleoplasm],Complex,Catalyst,False,AND,1,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3215426"",""COPRS binds CCND1:CDK4:PRMT5:pT5-WDR77"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5205861"",""COPRS:CCND1:CDK4:PRMT5:pT5-WDR77 methylates arginine-4 of histone H4 (H4R3)"")","Jupe, S",Same_SBGN,CCND1:CDK4:PRMT5:pT5-WDR77:COPRS [nucleoplasm],Complex,Catalyst,False,AND,1,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3215448"",""SWI/SNF chromatin remodelling complex enhances MEP50:PRMT5 methyltransferase activity"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5205799"",""CCND1:CDK4:PRMT5:pT5-WDR77 methylates arginine-9 of histone H3 (H3R8)"")","Jupe, S",Same_SBGN,SWI/SNF chromatin remodelling complex:PRMT5:pT5-WDR77 [nucleoplasm],Complex,Positive Regulator,False,AND,1,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3215448"",""SWI/SNF chromatin remodelling complex enhances MEP50:PRMT5 methyltransferase activity"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5205861"",""COPRS:CCND1:CDK4:PRMT5:pT5-WDR77 methylates arginine-4 of histone H4 (H4R3)"")","Jupe, S",Same_SBGN,SWI/SNF chromatin remodelling complex:PRMT5:pT5-WDR77 [nucleoplasm],Complex,Positive Regulator,False,AND,1,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5159250"",""ATF7IP binds SETDB1"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-4827382"",""SUV39H1 (KMT1A), SUV39H2 (KTM1B), SETDB1 (KMT1E), SETDB2 (KMT1F) methylate dimethyl-lysine-10 of histone H3 (H3K9)"")","Jupe, S",Same_SBGN,ATF7IP:SETDB1 [nucleoplasm],Complex,Positive Regulator,False,AND,1,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5205798"",""PRMT1,PRMT6 methylate arginine-4 of histone H4"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5661124"",""JMJD6 demethylates MeR4-HIST1H4"")","Jupe, S",Same_SBGN,MeR4-HIST1H4 [nucleoplasm],EntityWithAccessionedSequence,Input,True,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5205798"",""PRMT1,PRMT6 methylate arginine-4 of histone H4"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5661126"",""PRMT1,PRMT6 methylate methyl-lysine-4 of histone H4"")","Jupe, S",Same_SBGN,MeR4-HIST1H4 [nucleoplasm],EntityWithAccessionedSequence,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5423038"",""SETD8 (KMT5A) methylates lysine-21 of histone H4 (H4K20)"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5651654"",""SUV420H1 (KMT5B), SUV420H2 (KMT5C), (possibly SMYD3 (KMT3E)) methylate methyl-lysine-21 of histone H4 (H4K20)"")","Jupe, S",Same_SBGN,MeK21-HIST1H4 [nucleoplasm],EntityWithAccessionedSequence,Input,False,OR,0,False
