PathwayName,StartPathwayName,StartPoint,StartPoint_in_Path?,StartPath_ID,StartPoint_Count,EndPathwayName,EndPoint,EndPoint_in_Path?,EndPath_ID,EndPoint_Count,Longest_Path_Start,Longest_Path_End,Longest_Path_Links
Cell-Cell communication,Type I hemidesmosome assembly,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-432909"",""Interaction of Plectin with Integrin beta 4"")",Yes,1,1,Signal regulatory protein family interactions,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-391150"",""p-4Y-SIRPA:CD47 binds PTPN6,PTPN11"")",Yes,[4],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-432909"",""Interaction of Plectin with Integrin beta 4"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-446077"",""BP230 interacts with keretin K5/K14"")",6
Cell-Cell communication,Nephrin family interactions,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-373732"",""Nephrin trans-homophilic interaction"")",Yes,2,7,Nephrin family interactions,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-451377"",""Interaction of IQGAP1 with nephrin"")",Yes,[2],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-373732"",""Nephrin trans-homophilic interaction"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-451758"",""p85 associates with both p-Nephrin and CD2AP"")",6
Cell-Cell communication,Adherens junctions interactions,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-433711"",""Cis-homodimerization of nectins"")",Yes,3,1,Nephrin family interactions,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-451758"",""p85 associates with both p-Nephrin and CD2AP"")",Yes,[2],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-373732"",""Nephrin trans-homophilic interaction"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-532603"",""Nephrin mediated activation of N-WASP"")",6
Cell-Cell communication,Signal regulatory protein family interactions,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-391158"",""SIRP alpha binds CD47"")",Yes,4,4,Nephrin family interactions,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-373722"",""Nephrin binds CASK"")",Yes,[2],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-373732"",""Nephrin trans-homophilic interaction"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-373734"",""Nephrin interacts with Podocin"")",5
Cell-Cell communication,,,,,-,Signal regulatory protein family interactions,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-391152"",""p-4Y-SIRPA:CD47 binds PTK2B"")",Yes,[4],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-373732"",""Nephrin trans-homophilic interaction"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-451377"",""Interaction of IQGAP1 with nephrin"")",3
Cell-Cell communication,,,,,-,Signal regulatory protein family interactions,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-391151"",""p-4Y-SIRPA:CD47:SKAP2 binds FYB"")",Yes,[4],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-373732"",""Nephrin trans-homophilic interaction"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-373722"",""Nephrin binds CASK"")",3
Cell-Cell communication,,,,,-,Adherens junctions interactions,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-419011"",""Transhomodimerization of Nectins"")",Yes,[3],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-373732"",""Nephrin trans-homophilic interaction"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-451403"",""Interaction of nephrin with adherens junction-associated proteins"")",3
Cell-Cell communication,,,,,-,Type I hemidesmosome assembly,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-446077"",""BP230 interacts with keretin K5/K14"")",Yes,[1],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-391158"",""SIRP alpha binds CD47"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-391150"",""p-4Y-SIRPA:CD47 binds PTPN6,PTPN11"")",3
Cell-Cell communication,,,,,-,Nephrin family interactions,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-451757"",""Heterodimerization of nephrin and KIRREL2, KIRREL3"")",Yes,[2],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-391158"",""SIRP alpha binds CD47"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-391152"",""p-4Y-SIRPA:CD47 binds PTK2B"")",3
Cell-Cell communication,,,,,-,Nephrin family interactions,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-451403"",""Interaction of nephrin with adherens junction-associated proteins"")",Yes,[2],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-391158"",""SIRP alpha binds CD47"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-391151"",""p-4Y-SIRPA:CD47:SKAP2 binds FYB"")",3
Cell-Cell communication,,,,,-,Nephrin family interactions,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-532603"",""Nephrin mediated activation of N-WASP"")",Yes,[2],1,,,
Cell-Cell communication,,,,,-,Signal regulatory protein family interactions,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-391153"",""p-4Y-SIRPA:CD47 binds GRB2-1"")",Yes,[4],1,,,
Cell-Cell communication,,,,,-,Nephrin family interactions,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-373734"",""Nephrin interacts with Podocin"")",Yes,[2],1,,,
